Index,Sentence
1,Il posa une autorisation périmée.
2,Son avocat pourrait plaider.
3,C’est peut-être le pire aspect.
4,C'était une photo de Glenda.
5,D'autres objets de valeur ?
6,Une déchirure dans la moquette ?
7,C'étaient les conclusions des parties.
8,C'était un vol en bonus ?
9,Vous puissiez penser cela ?
10,J'en suis resté au secrétariat.
11,qu'il enverrait quelqu'un d'autre.
12,Le mobilier était comme miniaturisé.
13,Elle pourrissait aussi la vie aux Feldman.
14,Je n'ai même pas entamé les investigations.
15,Le bâtiment était ancien.
16,"Chaque fois, c'était quelque chose d'autre."
17,J'avançai l'idée du tueur.
18,Je suis censé chercher selon quel critère ?
19,Ses leggings verts brillaient.
20,Vita vivait sa vie.
21,"Non, je croyais juste qu’elle l’était."
22,"Elle demanda ""Elle avait un domicile ?"
23,Je ne les serre pas fort.
24,Ça fait cher la raillerie.
25,Je suis rentré tard.
26,Il avalait un somnifère.
27,Son épouse est-elle impliquée ?
28,Elle s'occupait à des bricoles.
29,Ça fait un bail.
30,J’avais une Mercedes décapotable.
31,Vous voudriez peut-être un traitement de faveur ?
32,Elle sort d'une fenêtre ouverte.
33,L'incident prit trop d'importance.
34,Un agent me regarda.
35,Ils ont tiré une taille.
36,"Dites-moi, ça fait longtemps ?"
37,Ça aurait facilité la tâche.
38,Il n'y figurait que leur numéro.
39,Un aperçu de la face sombre.
40,Elle portait un gilet vert.
41,Elles étaient aux endroits attendus.
42,Ils n'ont pas quitté le chevet.
43,Peut-être une histoire entre pédés ?
44,Elle les a toisés comme ça.
45,Nous en sommes encore à démêler.
46,Elle vivait d'une allocation.
47,Elle est tapie sous la surface.
48,"Encore avant, il était enseignant ."
49,Il n'avait plus rien à voir avec elle.
50,Sloat alluma une nouvelle cigarette.
51,Les défis me connaissent bien.
52,Si tu as faim avant.
53,"Ni pour lui, ni pour moi."
54,Elles étaient en proie à la culpabilité.
55,Il la rentra aussitôt.
56,Ce sont des phénomènes équivoques.
57,Il devait s'attendre à leur venue.
58,Elle a sorti un grand sac.
59,Ostrovine posa son stylo.
60,Elle veut y apprendre à bien émincer les oignons.
61,Vous soupçonnez quelqu'un ?
62,"Triste, même pour quelqu'un comme elle."
63,Elle ne bougea pas.
64,Il avait une épaisse chevelure.
65,Aucun signe de résistance n'était visible.
66,Ceci m’apaisa les nerfs.
67,Alex eut un petit rire.
68,Tout ce qu'il y a de plus raisonnable.
69,Nina. Je n’aime pas  madame .
70,Elle usa d'une loupe.
71,J'ai vu les enfants sous un nouveau regard.
72,Il pivota avant qu'elle ne s'exprime.
73,C'était plus profond que le sommeil.
74,Le polo était bleu ciel pour monsieur.
75,Je suis parti au match à seize heures.
76,"Désolée, je ne sens rien ."
77,Samantha Pelleter afficha un rictus.
78,C'était lors d'une promenade nocturne.
79,Ce sont de jeunes gens sympathiques.
80,Il avait cinquante-cinq ans environ.
81,Milo élève le ronchonnement.
82,Probablement les mêmes que vous.
83,Une transaction fut conclue.
84,Nous allons tout mettre en œuvre .
85,Il passa l'appareil à son collègue.
86,Rien de tel qu'un défi.
87,Sa peau était plus foncée que les portes.
88,Vous subodorez que l'épouse est impliquée ?
89,Il avait attendu que tous les organes s'arrêtent.
90,C'est un peu chic pour elle.
91,À condition que vous me laissiez faire.
92,Milo me laissa un message.
93,L'assurance ne voulait pas de procès.
94,Vous pensez que ça vaut la peine ?
95,Vous sauriez décrire le pardessus ?
96,Le silence se prolongea.
97,Ils étaient sur une table de chevet.
98,Elle était en médecine nucléaire.
99,Si on se parle.
100,On surveille de près ma prestation.
101,Elle avait cette façon de vous regarder.
102,Sloat observa la main tendue.
103,Il s'est accumulé dans la cavité abdominale.
104,Peut-être quelque chose l'a rendue amère.
105,C'est peut-être qu'il vient d'une région froide.
106,C'était incompatible avec la vie.
107,"Je veux dire, lieutenant."
108,Ça remonte à quinze ans.
109,Puis je suis rentrée.
110,Certains embrassent la religion.
111,"Il mariait le turquoise, le corail, le safran."
112,Quant au type l'autre soir...
113,Il a parfois le coup d'œil.
114,Il doit être puissant et sombre.
115,Tout semblait en ordre dans la buanderie.
116,Le crime a eu lieu avant-hier.
117,Ne leur fais pas un procès.
118,Je prépare du café.
119,Le personnel était entièrement féminin.
120,Elle me touche le visage.
121,Il s'agissait de placements de bon père de famille.
122,Il ne s'agit pas de violence urbaine.
123,Il ne pesait pas lourd.
124,Il avait un pas traînant.
125,Employez tous les moyens nécessaires.
126,Il fallait garantir mon objectivité.
127,En attendant d'être certifié .
128,Vous maîtrisez l'art culinaire.
129,Parnell a mal investi ?
130,Elle me plantait ses ongles.
131,Sa chevelure est châtain clairsemée.
132,Des haut-parleurs diffusent de la musique.
133,Sinon je vous traîne en justice !
134,Je ne leur fais pas mal.
135,Aucun client ne profitait de ce chic.
136,Il était parfaitement immobile.
137,On a beau les appeler sans-abri .
138,Il ne l'a pas entraînée dans la chambre.
139,Ils sentaient qu'il parlait pour la forme.
140,Elle était située à cinq cents mètres.
141,D'autres restent et trouvent un exutoire.
142,Elle sortit d'un pas sautillant.
143,Colin était consciencieux .
144,Nous verrons tout cela.
145,"Sloat demanda ""Qu'est-il arrivé ?"
146,C'est le permis de conduire.
147,Il ne voulait pas payer pour un bail.
148,Les charnières du portail y étaient fixées.
149,Il y avait des bouteilles d'oxygène.
150,Tout paraît en ordre.
151,Elle n'a pas eu d'enfants.
152,Il était situé au centre.
153,C'était en prévision d'une soirée romantique.
154,Il voulait prendre un cigarillo.
155,La deuxième feuille comportait des notes.
156,Et Britt ? .
157,La pose était un peu figée.
158,Il lui tourna le dos.
159,Le cadre est en acier chromé.
160,Ses lèvres étaient contractées.
161,Je suis resté paralysé.
162,Ça n'a pas plus à Vita ?
163,Vous avez le sens de l’observation.
164,La poignée avait été essuyée.
165,"Sinon, ça signifiait qu'il s'était débrouillé."
166,Avec qui était-elle en contact ?
167,Les gens s'en prennent aux aimés.
168,Il avait pu laisser des traces d'ADN.
169,Comment avez-vous réagi ?
170,Je demandai sa manière de se déplacer.
171,Sa chemise blanche était froissée.
172,Vous mettez la charrue avant les bœufs.
173,La nature du métier demeure.
174,Il y avait une batterie de casseroles.
175,La nouvelle veuve sourit.
176,Bella ne s'entend jamais avec un homme.
177,Il pensa qu'il observait leur bâtiment.
178,Elle retrouva sa voix.
179,Ils sont dans l'armée.
180,Elle était attachée avec une cravate bleue.
181,Il voulait être tenu au courant.
182,Ils redoutent que la confidentialité soit écartée.
183,C'est tellement triste à voir.
184,Ça devait forcément arriver.
185,Ils étaient concentrés sur leur enfant.
186,Il avait une tignasse foncée.
187,De ne pas s'y promener la nuit .
188,"Tu m'as manqué, chérie."
189,Je préfère ta façon.
190,Elle porte un masque.
